Period,Hypothesis,Lag (min),Correlation
2025-11-28 14:45:00+00:00 → 2025-11-28 15:27:00+00:00,EWJ follows QQQ,0,0.43240476556139906
2025-11-28 14:45:00+00:00 → 2025-11-28 15:27:00+00:00,EWT follows QQQ,0,0.7913184609038203
2025-11-28 14:45:00+00:00 → 2025-11-28 15:27:00+00:00,EWC follows QQQ,-2,0.17537490953005017
2025-11-28 14:45:00+00:00 → 2025-11-28 15:27:00+00:00,EWU follows QQQ,1,0.2257123313817801
2025-11-28 14:45:00+00:00 → 2025-11-28 15:27:00+00:00,XLK follows QQQ,0,0.8940507989900895
2025-11-28 14:46:00+00:00 → 2025-11-28 15:32:00+00:00,EWJ follows QQQ,0,0.40078406136892464
2025-11-28 14:46:00+00:00 → 2025-11-28 15:32:00+00:00,EWT follows QQQ,0,0.794538953952879
2025-11-28 14:46:00+00:00 → 2025-11-28 15:32:00+00:00,EWC follows QQQ,-2,0.17042945276548024
2025-11-28 14:46:00+00:00 → 2025-11-28 15:32:00+00:00,EWU follows QQQ,-4,0.24133978482439108
2025-11-28 14:46:00+00:00 → 2025-11-28 15:32:00+00:00,XLK follows QQQ,0,0.9029745671160179
2025-11-28 14:47:00+00:00 → 2025-11-28 15:33:00+00:00,EWJ follows QQQ,0,0.38728853454457074
2025-11-28 14:47:00+00:00 → 2025-11-28 15:33:00+00:00,EWT follows QQQ,0,0.7742356297096215
2025-11-28 14:47:00+00:00 → 2025-11-28 15:33:00+00:00,EWC follows QQQ,-2,0.14253453281992837
2025-11-28 14:47:00+00:00 → 2025-11-28 15:33:00+00:00,EWU follows QQQ,-4,0.2928090259370505
2025-11-28 14:47:00+00:00 → 2025-11-28 15:33:00+00:00,XLK follows QQQ,0,0.9081129077618715
2025-11-28 14:48:00+00:00 → 2025-11-28 15:34:00+00:00,EWJ follows QQQ,-5,0.4568436541096028
2025-11-28 14:48:00+00:00 → 2025-11-28 15:34:00+00:00,EWT follows QQQ,0,0.7521316116757526
2025-11-28 14:48:00+00:00 → 2025-11-28 15:34:00+00:00,EWC follows QQQ,-2,0.1388397920661072
2025-11-28 14:48:00+00:00 → 2025-11-28 15:34:00+00:00,EWU follows QQQ,1,0.274095156430974
2025-11-28 14:48:00+00:00 → 2025-11-28 15:34:00+00:00,XLK follows QQQ,0,0.9074237318281535
2025-11-28 14:49:00+00:00 → 2025-11-28 15:35:00+00:00,EWJ follows QQQ,-5,0.36787293384249364
2025-11-28 14:49:00+00:00 → 2025-11-28 15:35:00+00:00,EWT follows QQQ,0,0.7323684578646292
2025-11-28 14:49:00+00:00 → 2025-11-28 15:35:00+00:00,EWC follows QQQ,0,0.13580239217084228
2025-11-28 14:49:00+00:00 → 2025-11-28 15:35:00+00:00,EWU follows QQQ,1,0.29563347882966273
2025-11-28 14:49:00+00:00 → 2025-11-28 15:35:00+00:00,XLK follows QQQ,0,0.8970202325810455
2025-11-28 14:50:00+00:00 → 2025-11-28 15:36:00+00:00,EWJ follows QQQ,-5,0.36606402832034657
2025-11-28 14:50:00+00:00 → 2025-11-28 15:36:00+00:00,EWT follows QQQ,0,0.7114578900353999
2025-11-28 14:50:00+00:00 → 2025-11-28 15:36:00+00:00,EWC follows QQQ,-2,0.13612097595739905
2025-11-28 14:50:00+00:00 → 2025-11-28 15:36:00+00:00,EWU follows QQQ,-4,0.301162953650119
2025-11-28 14:50:00+00:00 → 2025-11-28 15:36:00+00:00,XLK follows QQQ,0,0.8905978257599365
2025-11-28 14:51:00+00:00 → 2025-11-28 15:37:00+00:00,EWJ follows QQQ,-5,0.38264354282002316
2025-11-28 14:51:00+00:00 → 2025-11-28 15:37:00+00:00,EWT follows QQQ,0,0.7090463260155393
2025-11-28 14:51:00+00:00 → 2025-11-28 15:37:00+00:00,EWC follows QQQ,-2,0.1886055559411935
2025-11-28 14:51:00+00:00 → 2025-11-28 15:37:00+00:00,EWU follows QQQ,-4,0.3136950410385062
2025-11-28 14:51:00+00:00 → 2025-11-28 15:37:00+00:00,XLK follows QQQ,0,0.8935825027282727
2025-11-28 14:52:00+00:00 → 2025-11-28 15:38:00+00:00,EWJ follows QQQ,-5,0.4027186768843305
2025-11-28 14:52:00+00:00 → 2025-11-28 15:38:00+00:00,EWT follows QQQ,0,0.716573327679154
2025-11-28 14:52:00+00:00 → 2025-11-28 15:38:00+00:00,EWC follows QQQ,-2,0.30294162150415843
2025-11-28 14:52:00+00:00 → 2025-11-28 15:38:00+00:00,EWU follows QQQ,-4,0.27135861081307827
2025-11-28 14:52:00+00:00 → 2025-11-28 15:38:00+00:00,XLK follows QQQ,0,0.9069068426871398
2025-11-28 14:53:00+00:00 → 2025-11-28 15:39:00+00:00,EWJ follows QQQ,1,0.38600569630522347
2025-11-28 14:53:00+00:00 → 2025-11-28 15:39:00+00:00,EWT follows QQQ,0,0.6376624927146022
2025-11-28 14:53:00+00:00 → 2025-11-28 15:39:00+00:00,EWC follows QQQ,-2,0.29864813836747806
2025-11-28 14:53:00+00:00 → 2025-11-28 15:39:00+00:00,EWU follows QQQ,1,0.35060779970843886
2025-11-28 14:53:00+00:00 → 2025-11-28 15:39:00+00:00,XLK follows QQQ,0,0.8744445173571961
2025-11-28 14:54:00+00:00 → 2025-11-28 15:40:00+00:00,EWJ follows QQQ,1,0.38322247118049213
2025-11-28 14:54:00+00:00 → 2025-11-28 15:40:00+00:00,EWT follows QQQ,0,0.6298809321100716
2025-11-28 14:54:00+00:00 → 2025-11-28 15:40:00+00:00,EWC follows QQQ,-2,0.2995638025014493
2025-11-28 14:54:00+00:00 → 2025-11-28 15:40:00+00:00,EWU follows QQQ,1,0.359309782479654
2025-11-28 14:54:00+00:00 → 2025-11-28 15:40:00+00:00,XLK follows QQQ,0,0.8620638824875707
2025-11-28 14:55:00+00:00 → 2025-11-28 15:41:00+00:00,EWJ follows QQQ,1,0.3761402274688991
2025-11-28 14:55:00+00:00 → 2025-11-28 15:41:00+00:00,EWT follows QQQ,0,0.6367565702234932
2025-11-28 14:55:00+00:00 → 2025-11-28 15:41:00+00:00,EWC follows QQQ,-2,0.2810438539863223
2025-11-28 14:55:00+00:00 → 2025-11-28 15:41:00+00:00,EWU follows QQQ,1,0.3595798701875613
2025-11-28 14:55:00+00:00 → 2025-11-28 15:41:00+00:00,XLK follows QQQ,0,0.8739079935136279
2025-11-28 14:56:00+00:00 → 2025-11-28 15:42:00+00:00,EWJ follows QQQ,1,0.3776601119600334
2025-11-28 14:56:00+00:00 → 2025-11-28 15:42:00+00:00,EWT follows QQQ,0,0.6433018391396864
2025-11-28 14:56:00+00:00 → 2025-11-28 15:42:00+00:00,EWC follows QQQ,-2,0.332298996653612
2025-11-28 14:56:00+00:00 → 2025-11-28 15:42:00+00:00,EWU follows QQQ,1,0.37377773674537795
2025-11-28 14:56:00+00:00 → 2025-11-28 15:42:00+00:00,XLK follows QQQ,0,0.8881633981438927
2025-11-28 14:59:00+00:00 → 2025-11-28 15:43:00+00:00,EWJ follows QQQ,1,0.3686241713672046
2025-11-28 14:59:00+00:00 → 2025-11-28 15:43:00+00:00,EWT follows QQQ,0,0.6756723271451861
2025-11-28 14:59:00+00:00 → 2025-11-28 15:43:00+00:00,EWC follows QQQ,-2,0.32109357594049176
2025-11-28 14:59:00+00:00 → 2025-11-28 15:43:00+00:00,EWU follows QQQ,1,0.38475763083175807
2025-11-28 14:59:00+00:00 → 2025-11-28 15:43:00+00:00,XLK follows QQQ,0,0.889738550034342
2025-11-28 15:00:00+00:00 → 2025-11-28 15:44:00+00:00,EWJ follows QQQ,1,0.4023446179058715
2025-11-28 15:00:00+00:00 → 2025-11-28 15:44:00+00:00,EWT follows QQQ,0,0.6852453566964432
2025-11-28 15:00:00+00:00 → 2025-11-28 15:44:00+00:00,EWC follows QQQ,-2,0.33139018746653714
2025-11-28 15:00:00+00:00 → 2025-11-28 15:44:00+00:00,EWU follows QQQ,1,0.37271005324187373
2025-11-28 15:00:00+00:00 → 2025-11-28 15:44:00+00:00,XLK follows QQQ,0,0.8772938274585234
2025-11-28 15:01:00+00:00 → 2025-11-28 15:45:00+00:00,EWJ follows QQQ,1,0.3803710623502697
2025-11-28 15:01:00+00:00 → 2025-11-28 15:45:00+00:00,EWT follows QQQ,0,0.6856102887870339
2025-11-28 15:01:00+00:00 → 2025-11-28 15:45:00+00:00,EWC follows QQQ,-2,0.2081667906291203
2025-11-28 15:01:00+00:00 → 2025-11-28 15:45:00+00:00,EWU follows QQQ,1,0.3660492183545054
2025-11-28 15:01:00+00:00 → 2025-11-28 15:45:00+00:00,XLK follows QQQ,0,0.8869099252420236
2025-11-28 15:05:00+00:00 → 2025-11-28 15:46:00+00:00,EWJ follows QQQ,1,0.4123572243586442
2025-11-28 15:05:00+00:00 → 2025-11-28 15:46:00+00:00,EWT follows QQQ,0,0.6847326185274218
2025-11-28 15:05:00+00:00 → 2025-11-28 15:46:00+00:00,EWC follows QQQ,-1,0.18348084152324245
2025-11-28 15:05:00+00:00 → 2025-11-28 15:46:00+00:00,EWU follows QQQ,3,0.3272198256694444
2025-11-28 15:05:00+00:00 → 2025-11-28 15:46:00+00:00,XLK follows QQQ,0,0.8878731426337835
2025-11-28 15:06:00+00:00 → 2025-11-28 15:47:00+00:00,EWJ follows QQQ,1,0.43676908874868275
2025-11-28 15:06:00+00:00 → 2025-11-28 15:47:00+00:00,EWT follows QQQ,0,0.6416921022276204
2025-11-28 15:06:00+00:00 → 2025-11-28 15:47:00+00:00,EWC follows QQQ,0,0.2196098788252553
2025-11-28 15:06:00+00:00 → 2025-11-28 15:47:00+00:00,EWU follows QQQ,-4,0.31769568873262666
2025-11-28 15:06:00+00:00 → 2025-11-28 15:47:00+00:00,XLK follows QQQ,0,0.87722256098074
2025-11-28 15:07:00+00:00 → 2025-11-28 15:48:00+00:00,EWJ follows QQQ,1,0.38914494157382457
2025-11-28 15:07:00+00:00 → 2025-11-28 15:48:00+00:00,EWT follows QQQ,0,0.5735375241456988
2025-11-28 15:07:00+00:00 → 2025-11-28 15:48:00+00:00,EWC follows QQQ,0,0.25261797319892576
2025-11-28 15:07:00+00:00 → 2025-11-28 15:48:00+00:00,EWU follows QQQ,-4,0.2552264409277521
2025-11-28 15:07:00+00:00 → 2025-11-28 15:48:00+00:00,XLK follows QQQ,0,0.8619702361728041
2025-11-28 15:08:00+00:00 → 2025-11-28 15:49:00+00:00,EWJ follows QQQ,1,0.4287689206174545
2025-11-28 15:08:00+00:00 → 2025-11-28 15:49:00+00:00,EWT follows QQQ,0,0.5566686045862307
2025-11-28 15:08:00+00:00 → 2025-11-28 15:49:00+00:00,EWC follows QQQ,0,0.24414420274806914
2025-11-28 15:08:00+00:00 → 2025-11-28 15:49:00+00:00,EWU follows QQQ,-4,0.2468368091450625
2025-11-28 15:08:00+00:00 → 2025-11-28 15:49:00+00:00,XLK follows QQQ,0,0.8646230866955665
2025-11-28 15:09:00+00:00 → 2025-11-28 15:50:00+00:00,EWJ follows QQQ,1,0.4070509366001187
2025-11-28 15:09:00+00:00 → 2025-11-28 15:50:00+00:00,EWT follows QQQ,0,0.5816678616886047
2025-11-28 15:09:00+00:00 → 2025-11-28 15:50:00+00:00,EWC follows QQQ,0,0.3005952527647532
2025-11-28 15:09:00+00:00 → 2025-11-28 15:50:00+00:00,EWU follows QQQ,-4,0.21737474312147176
2025-11-28 15:09:00+00:00 → 2025-11-28 15:50:00+00:00,XLK follows QQQ,0,0.8617972660445812
2025-11-28 15:10:00+00:00 → 2025-11-28 15:51:00+00:00,EWJ follows QQQ,1,0.3697590266516299
2025-11-28 15:10:00+00:00 → 2025-11-28 15:51:00+00:00,EWT follows QQQ,0,0.5725190327220231
2025-11-28 15:10:00+00:00 → 2025-11-28 15:51:00+00:00,EWC follows QQQ,0,0.305850557197725
2025-11-28 15:10:00+00:00 → 2025-11-28 15:51:00+00:00,EWU follows QQQ,1,0.195325370334296
2025-11-28 15:10:00+00:00 → 2025-11-28 15:51:00+00:00,XLK follows QQQ,0,0.8613240981669454
2025-11-28 15:11:00+00:00 → 2025-11-28 15:52:00+00:00,EWJ follows QQQ,1,0.3477487790326815
2025-11-28 15:11:00+00:00 → 2025-11-28 15:52:00+00:00,EWT follows QQQ,0,0.5720058995072855
2025-11-28 15:11:00+00:00 → 2025-11-28 15:52:00+00:00,EWC follows QQQ,0,0.21075664309713726
2025-11-28 15:11:00+00:00 → 2025-11-28 15:52:00+00:00,EWU follows QQQ,-4,0.1551847501807403
2025-11-28 15:11:00+00:00 → 2025-11-28 15:52:00+00:00,XLK follows QQQ,0,0.8522595222017271
2025-11-28 15:12:00+00:00 → 2025-11-28 15:53:00+00:00,EWJ follows QQQ,1,0.34942520877228805
2025-11-28 15:12:00+00:00 → 2025-11-28 15:53:00+00:00,EWT follows QQQ,0,0.463716432319588
2025-11-28 15:12:00+00:00 → 2025-11-28 15:53:00+00:00,EWC follows QQQ,0,0.18665397369763623
2025-11-28 15:12:00+00:00 → 2025-11-28 15:53:00+00:00,EWU follows QQQ,-4,0.16303003271180627
2025-11-28 15:12:00+00:00 → 2025-11-28 15:53:00+00:00,XLK follows QQQ,0,0.850753757363168
2025-11-28 15:15:00+00:00 → 2025-11-28 15:56:00+00:00,EWJ follows QQQ,1,0.3969770621745258
2025-11-28 15:15:00+00:00 → 2025-11-28 15:56:00+00:00,EWT follows QQQ,0,0.453575294005894
2025-11-28 15:15:00+00:00 → 2025-11-28 15:56:00+00:00,EWC follows QQQ,-3,0.19203142197507655
2025-11-28 15:15:00+00:00 → 2025-11-28 15:56:00+00:00,EWU follows QQQ,-5,0.2719062411188686
2025-11-28 15:15:00+00:00 → 2025-11-28 15:56:00+00:00,XLK follows QQQ,0,0.8599268647996069
2025-11-28 15:18:00+00:00 → 2025-11-28 15:57:00+00:00,EWJ follows QQQ,1,0.4002569317766024
2025-11-28 15:18:00+00:00 → 2025-11-28 15:57:00+00:00,EWT follows QQQ,0,0.4498499644432702
2025-11-28 15:18:00+00:00 → 2025-11-28 15:57:00+00:00,EWC follows QQQ,-4,0.2273481091680112
2025-11-28 15:18:00+00:00 → 2025-11-28 15:57:00+00:00,EWU follows QQQ,-5,0.28967205746723784
2025-11-28 15:18:00+00:00 → 2025-11-28 15:57:00+00:00,XLK follows QQQ,0,0.8695847227609056
2025-11-28 15:19:00+00:00 → 2025-11-28 15:58:00+00:00,EWJ follows QQQ,1,0.4098958468908896
2025-11-28 15:19:00+00:00 → 2025-11-28 15:58:00+00:00,EWT follows QQQ,0,0.44983005449507213
2025-11-28 15:19:00+00:00 → 2025-11-28 15:58:00+00:00,EWC follows QQQ,-4,0.20432872198201324
2025-11-28 15:19:00+00:00 → 2025-11-28 15:58:00+00:00,EWU follows QQQ,-5,0.29405207577766684
2025-11-28 15:19:00+00:00 → 2025-11-28 15:58:00+00:00,XLK follows QQQ,0,0.8801637991455242
2025-11-28 15:20:00+00:00 → 2025-11-28 16:02:00+00:00,EWJ follows QQQ,1,0.41062774688947834
2025-11-28 15:20:00+00:00 → 2025-11-28 16:02:00+00:00,EWT follows QQQ,0,0.46452776630624104
2025-11-28 15:20:00+00:00 → 2025-11-28 16:02:00+00:00,EWC follows QQQ,1,0.13602024324361148
2025-11-28 15:20:00+00:00 → 2025-11-28 16:02:00+00:00,EWU follows QQQ,-5,0.3136022326687407
2025-11-28 15:20:00+00:00 → 2025-11-28 16:02:00+00:00,XLK follows QQQ,0,0.9052993640383581
2025-11-28 15:21:00+00:00 → 2025-11-28 16:05:00+00:00,EWJ follows QQQ,1,0.3877465465087849
2025-11-28 15:21:00+00:00 → 2025-11-28 16:05:00+00:00,EWT follows QQQ,0,0.4874154782932244
2025-11-28 15:21:00+00:00 → 2025-11-28 16:05:00+00:00,EWC follows QQQ,1,0.1723025832695446
2025-11-28 15:21:00+00:00 → 2025-11-28 16:05:00+00:00,EWU follows QQQ,-5,0.1877317326474419
2025-11-28 15:21:00+00:00 → 2025-11-28 16:05:00+00:00,XLK follows QQQ,0,0.9080045564621902
2025-11-28 15:22:00+00:00 → 2025-11-28 16:06:00+00:00,EWJ follows QQQ,3,0.3181458079810423
2025-11-28 15:22:00+00:00 → 2025-11-28 16:06:00+00:00,EWT follows QQQ,0,0.4749677907733636
2025-11-28 15:22:00+00:00 → 2025-11-28 16:06:00+00:00,EWC follows QQQ,1,0.23912171428001922
2025-11-28 15:22:00+00:00 → 2025-11-28 16:06:00+00:00,EWU follows QQQ,-5,0.21683617517989234
2025-11-28 15:22:00+00:00 → 2025-11-28 16:06:00+00:00,XLK follows QQQ,0,0.8910791997967188
2025-11-28 15:27:00+00:00 → 2025-11-28 16:07:00+00:00,EWJ follows QQQ,3,0.35341570386794624
2025-11-28 15:27:00+00:00 → 2025-11-28 16:07:00+00:00,EWT follows QQQ,0,0.4612964201413485
2025-11-28 15:27:00+00:00 → 2025-11-28 16:07:00+00:00,EWC follows QQQ,1,0.19648535124483021
2025-11-28 15:27:00+00:00 → 2025-11-28 16:07:00+00:00,EWU follows QQQ,-5,0.2446131788942267
2025-11-28 15:27:00+00:00 → 2025-11-28 16:07:00+00:00,XLK follows QQQ,0,0.8946119844520573
2025-11-28 15:32:00+00:00 → 2025-11-28 16:08:00+00:00,EWJ follows QQQ,3,0.3892929306553251
2025-11-28 15:32:00+00:00 → 2025-11-28 16:08:00+00:00,EWT follows QQQ,0,0.46940451381834575
2025-11-28 15:32:00+00:00 → 2025-11-28 16:08:00+00:00,EWC follows QQQ,1,0.18694238276950667
2025-11-28 15:32:00+00:00 → 2025-11-28 16:08:00+00:00,EWU follows QQQ,-5,0.23446632231294354
2025-11-28 15:32:00+00:00 → 2025-11-28 16:08:00+00:00,XLK follows QQQ,0,0.8996236813664775
2025-11-28 15:33:00+00:00 → 2025-11-28 16:09:00+00:00,EWJ follows QQQ,3,0.3392802834592906
2025-11-28 15:33:00+00:00 → 2025-11-28 16:09:00+00:00,EWT follows QQQ,0,0.5233923383802096
2025-11-28 15:33:00+00:00 → 2025-11-28 16:09:00+00:00,EWC follows QQQ,1,0.21868340408302295
2025-11-28 15:33:00+00:00 → 2025-11-28 16:09:00+00:00,EWU follows QQQ,-5,0.194475407077159
2025-11-28 15:33:00+00:00 → 2025-11-28 16:09:00+00:00,XLK follows QQQ,0,0.8950152988797756
2025-11-28 15:34:00+00:00 → 2025-11-28 16:12:00+00:00,EWJ follows QQQ,3,0.27737526195832807
2025-11-28 15:34:00+00:00 → 2025-11-28 16:12:00+00:00,EWT follows QQQ,0,0.5127092893002514
2025-11-28 15:34:00+00:00 → 2025-11-28 16:12:00+00:00,EWC follows QQQ,1,0.2299712476981455
2025-11-28 15:34:00+00:00 → 2025-11-28 16:12:00+00:00,EWU follows QQQ,-5,0.1788879609949806
2025-11-28 15:34:00+00:00 → 2025-11-28 16:12:00+00:00,XLK follows QQQ,0,0.8920901559758357
2025-11-28 15:35:00+00:00 → 2025-11-28 16:15:00+00:00,EWJ follows QQQ,3,0.28067055181690687
2025-11-28 15:35:00+00:00 → 2025-11-28 16:15:00+00:00,EWT follows QQQ,0,0.5256502828236354
2025-11-28 15:35:00+00:00 → 2025-11-28 16:15:00+00:00,EWC follows QQQ,4,0.21447105241755662
2025-11-28 15:35:00+00:00 → 2025-11-28 16:15:00+00:00,EWU follows QQQ,-5,0.16864820598708571
2025-11-28 15:35:00+00:00 → 2025-11-28 16:15:00+00:00,XLK follows QQQ,0,0.9090626285445674
2025-11-28 15:36:00+00:00 → 2025-11-28 16:16:00+00:00,EWJ follows QQQ,3,0.28918899774244006
2025-11-28 15:36:00+00:00 → 2025-11-28 16:16:00+00:00,EWT follows QQQ,0,0.5216721997528572
2025-11-28 15:36:00+00:00 → 2025-11-28 16:16:00+00:00,EWC follows QQQ,1,0.23301958378289986
2025-11-28 15:36:00+00:00 → 2025-11-28 16:16:00+00:00,EWU follows QQQ,-4,0.14232417067026698
2025-11-28 15:36:00+00:00 → 2025-11-28 16:16:00+00:00,XLK follows QQQ,0,0.9048997909829697
2025-11-28 15:37:00+00:00 → 2025-11-28 16:17:00+00:00,EWJ follows QQQ,3,0.27356189410214743
2025-11-28 15:37:00+00:00 → 2025-11-28 16:17:00+00:00,EWT follows QQQ,0,0.5306468546870219
2025-11-28 15:37:00+00:00 → 2025-11-28 16:17:00+00:00,EWC follows QQQ,1,0.2447021885795699
2025-11-28 15:37:00+00:00 → 2025-11-28 16:17:00+00:00,EWU follows QQQ,-4,0.14282447419698227
2025-11-28 15:37:00+00:00 → 2025-11-28 16:17:00+00:00,XLK follows QQQ,0,0.905114806737107
2025-11-28 15:38:00+00:00 → 2025-11-28 16:18:00+00:00,EWJ follows QQQ,3,0.26439826922961507
2025-11-28 15:38:00+00:00 → 2025-11-28 16:18:00+00:00,EWT follows QQQ,0,0.5317445224635574
2025-11-28 15:38:00+00:00 → 2025-11-28 16:18:00+00:00,EWC follows QQQ,1,0.2760473654440568
2025-11-28 15:38:00+00:00 → 2025-11-28 16:18:00+00:00,EWU follows QQQ,-4,0.15001628080306972
2025-11-28 15:38:00+00:00 → 2025-11-28 16:18:00+00:00,XLK follows QQQ,0,0.9020780820452272
2025-11-28 15:39:00+00:00 → 2025-11-28 16:21:00+00:00,EWJ follows QQQ,3,0.3287878620187898
2025-11-28 15:39:00+00:00 → 2025-11-28 16:21:00+00:00,EWT follows QQQ,0,0.49806239629417953
2025-11-28 15:39:00+00:00 → 2025-11-28 16:21:00+00:00,EWC follows QQQ,4,0.25671115942290323
